vpn,style,sku,barcode,size,neck_circumference,shoulder_width,arm_length,center_back,chest_width,waist_circumference,inner_leg,outer_leg,thigh_circumference,glutes,cost_price,rrp,sale_price,brand_id,description,category,cost_price_cents,rrp_cents,sale_price_cents,vendor,style_number,size_code,sub_category,fabric_composition,silhouette,main_colour,print_wash,remote_photo_url
1303631,,S18100304105,,M,0,0,0,0,0,,69,96.5,36,29,40,40,40,3,Pull&Bear Tailored Pant In Grey With Side Stripe,BOTTOMS,4000,4000,4000,ASOS,S181003041,05,Trouser,"82% Polyester, 18% Viscose",regular,grey,Plain,http://images.asos-media.com/products/pullbear-tailored-pant-in-grey-with-side-stripe/10105763-1-grey?$XXL$&wid=513&fit=constrain
1298201,,S18100304205,,M,0,0,0,0,0,,69,96.5,36,29,40,40,40,3,Pull&Bear Tailored Pant In Navy Check,BOTTOMS,4000,4000,4000,ASOS,S181003042,05,Trouser,"80% Cotton, 20% Polyester",regular,navy,Check,http://images.asos-media.com/products/pullbear-tailored-pant-in-navy-check/10054153-1-navy?$XXL$&wid=513&fit=constrain
1273587,,S18100304305,,M,0,0,0,0,0,,69,96.5,36,29,40,40,40,3,Pull&Bear Tailored Pants In Grey,BOTTOMS,4000,4000,4000,ASOS,S181003043,05,Trouser,"82% Polyester, 18% Viscose",regular,grey,Plain,http://images.asos-media.com/products/pullbear-tailored-pants-in-grey/9748536-1-grey?$XXL$&wid=513&fit=constrain
1057040,,S18100203818,,32/32,0,0,0,0,0,,78,103,30,25,50,50,50,2,New Look skinny jeans with knee rips in black,BOTTOMS,5000,5000,5000,ASOS,S181002038,18,Jeans,"98% Cotton, 2% Elastane",skinny,black,Denim,http://images.asos-media.com/products/new-look-skinny-jeans-with-knee-rips-in-black/8002266-1-black?$XXL$&wid=513&fit=constrain
1233144,,S18100303918,,32/32,0,0,0,0,0,,79.5,105,29,26,32,32,32,3,Pull&Bear Super Skinny Jeans In Light Blue,BOTTOMS,3200,3200,3200,ASOS,S181003039,18,Jeans,"98% Cotton, 2% Elastane",super skinny,light-blue,Denim,http://images.asos-media.com/products/pullbear-super-skinny-jeans-in-light-blue/9265386-1-lightblue?$XXL$&wid=513&fit=constrain
1286948,,S18100204118,,32/32,0,0,0,0,0,,78,103,30,25,50,50,50,2,New Look Skinny Jeans In Light Wash,BOTTOMS,5000,5000,5000,ASOS,S181002041,18,Jeans,"98% Cotton, 2% Elastane",skinny,light-blue,Light Wash,http://images.asos-media.com/products/new-look-skinny-jeans-in-light-wash/9911637-1-lightblue?$XXL$&wid=513&fit=constrain
1342477,,S18100204218,,32/32,0,0,0,0,0,,78,103,30,25,50,50,50,2,New Look super skinny jeans in indigo,BOTTOMS,5000,5000,5000,ASOS,S181002042,18,Jeans,"98% Cotton, 2% Elastane",skinny,light-blue,Indigo,http://images.asos-media.com/products/new-look-super-skinny-jeans-in-indigo/10559392-1-darkblue?$XXL$&wid=513&fit=constrain
1342478,,S18100204318,,32/32,0,0,0,0,0,,78,103,30,25,50,50,50,2,New Look skinny jeans in blue wash,BOTTOMS,5000,5000,5000,ASOS,S181002043,18,Jeans,"98% Cotton, 2% Elastane",skinny,light-blue,Blue Wash,http://images.asos-media.com/products/new-look-skinny-jeans-in-blue-wash/10559370-1-lightblue?$XXL$&wid=513&fit=constrain
1342479,,S18100204418,,32/32,0,0,0,0,0,,78,103,30,25,50,50,50,2,New Look slim jeans in indigo wash,BOTTOMS,5000,5000,5000,ASOS,S181002044,18,Jeans,"98% Cotton, 2% Elastane",skinny,dark-blue,Indigo Wash,http://images.asos-media.com/products/new-look-slim-jeans-in-indigo-wash/10559376-1-navy?$XXL$&wid=513&fit=constrain
1187832,,S18100204518,,32/32,0,0,0,0,0,,78,103,30,25,60,60,60,2,New Look Skinny Jeans With Knee Rip In Mid Blue Wash,BOTTOMS,6000,6000,6000,ASOS,S181002045,18,Jeans,"99% Cotton, 1% Elastane",skinny,blue,Mid Blue Wash,http://images.asos-media.com/products/new-look-skinny-jeans-with-knee-rip-in-mid-blue-wash/8912881-1-brightblue?$XXL$&wid=513&fit=constrain
1233138,,S18100304618,,32/32,0,0,0,0,0,,79.5,105,29,26,32,32,32,3,Pull&Bear super skinny jeans with knee rips in black,BOTTOMS,3200,3200,3200,ASOS,S181003046,18,Jeans,"73% Cotton, 25% Polyester, 2% Elastane",super skinny,black,Denim,http://images.asos-media.com/products/pullbear-super-skinny-jeans-with-knee-rips-in-black/9264911-1-black?$XXL$&wid=513&fit=constrain
1343198,,S18100304718,,32/32,0,0,0,0,0,,79.5,105,29,26,40,40,40,3,Pull&Bear Super Skinny Jeans In Black,BOTTOMS,4000,4000,4000,ASOS,S181003047,18,Jeans,"99% Cotton, 1% Elastane",super skinny,black,Denim,http://images.asos-media.com/products/pullbear-super-skinny-jeans-in-black/10569375-1-black?$XXL$&wid=513&fit=constrain
1252168,,S18100304818,,32/32,0,0,0,0,0,,79.5,105,29,26,40,40,40,3,Pull&Bear Super Skinny Jeans In Dark Blue,BOTTOMS,4000,4000,4000,ASOS,S181003048,18,Jeans,"98% Cotton, 2% Elastane",super skinny,dark-blue,Dark Blue,http://images.asos-media.com/products/pullbear-super-skinny-jeans-in-dark-blue/9491423-1-darkblue?$XXL$&wid=513&fit=constrain
